,ltt,lgt,land_no,cluster
976,13.902558450672274,100.71329223577146,51697,6
977,13.902549694949595,100.7132506877083,51698,6
978,13.902546049299692,100.71321015820423,51699,6
979,13.90253799077085,100.71316798744624,51700,6
980,13.902531589598455,100.71312539411804,51701,6
981,13.902523295970614,100.71308483069838,51702,6
982,13.90251834283366,100.7130432389568,51703,6
983,13.902508295338636,100.71299479395282,51704,6
984,13.902499731918466,100.71293924172112,51705,6
985,13.902490021583835,100.71289294447966,51706,6
986,13.902482541928444,100.71285104214526,51707,6
987,13.90247684503794,100.71280912834496,51708,6
988,13.902468029487125,100.71276796332816,51709,6
989,13.90246226979385,100.71272646304136,51710,6
990,13.902455071051763,100.7126869216609,51711,6
991,13.902448606341826,100.71264457346862,51712,6
992,13.902438940047704,100.71259603486784,51713,6
993,13.902424733845953,100.71250560063817,51714,6
994,13.902415756168049,100.71245994102622,51715,6
995,13.902409488317971,100.71241953714092,51716,6
996,13.902401822253866,100.7123793393704,51717,6
997,13.90239447132039,100.71233796596454,51718,6
998,13.902387157503584,100.71229562479472,51719,6
999,13.902379894268211,100.7122561082824,51720,6
1000,13.902374996739356,100.7122164819754,51721,6
1001,13.902365865964695,100.7121696519318,51722,6
1002,13.902357217565712,100.71211458052755,51723,6
1003,13.902349991983163,100.71206589690074,51724,6
1004,13.902341020105236,100.7120252206124,51725,6
1005,13.902336449276971,100.71198455080706,51726,6
1006,13.902328758851072,100.7119451518264,51727,6
1007,13.90232023364984,100.71190261143914,51728,6
1008,13.90231371644597,100.71185882921556,51729,6
1009,13.902306221273468,100.71181723636546,51730,6
1010,13.902300681162195,100.71177508558624,51731,6
1011,13.902292242506402,100.71172918187052,51732,6
1012,13.902277570805524,100.71163390328228,51733,6
1013,13.90226720963782,100.71157277504564,51734,6
1014,13.902257696663035,100.7115183207401,51735,6
1015,13.902249451972027,100.71146642960991,51736,6
1016,13.902240967524897,100.71141258321516,51737,6
1017,13.902231448916876,100.71135351014831,51738,6
1018,13.902220109360943,100.7112963595458,51739,6
1019,13.902210628777134,100.71123341394632,51740,6
1020,13.902199585298703,100.71116187220775,51741,6
1021,13.902188744844691,100.7110984316234,51742,6
1022,13.902180569865088,100.71104530480146,51743,6
1023,13.902168826708907,100.71099273926956,51744,6
1024,13.90216113256539,100.71093653558935,51745,6
1025,13.90215220952228,100.71088274489358,51746,6
1026,13.902142242161922,100.71082199891264,51747,6
1027,13.902126257312556,100.7107175341817,51748,6
1028,13.90211530606812,100.71065844951993,51749,6
1029,13.902105778961642,100.7106038163324,51750,6
1030,13.902096379450038,100.71054724313956,51751,6
1031,13.90208877131185,100.7104913002592,51752,6
1032,13.902080476365832,100.71043676881044,51753,6
1033,13.90207160802924,100.7103811013814,51754,6
1034,13.902060772537183,100.7103271869374,51755,6
1035,13.902053173043695,100.71027534484,51756,6
1036,13.90204475855358,100.7102215659667,51757,6
